name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Todibo,WHU,DEF,4.5,Available,1824,54,1,2.0,0.1
Wan-Bissaka,WHU,DEF,4.5,Available,3154,118,15,3.3,29.6
Casey,WHU,DEF,4.0,NotAvail,1,1,0,1.0,0.5
L.Paquetá,WHU,MID,6.0,Available,2374,80,5,2.4,1.1
Souček,WHU,MID,6.0,Available,2563,126,15,3.6,1.0
Ward-Prowse,WHU,MID,6.0,Available,1433,51,2,2.1,0.4
Summerville,WHU,MID,5.5,Injured,776,33,2,1.7,0.0
Álvarez,WHU,MID,5.0,Available,1769,40,0,1.4,0.2
Cornet,WHU,MID,5.0,Available,71,1,0,0.5,0.1
G.Rodriguez,WHU,MID,5.0,Available,1147,36,0,1.6,0.1
L.Guilherme,WHU,MID,5.0,Available,139,12,0,1.0,0.1
Earthy,WHU,MID,4.5,Available,0,0,0,0.0,0.2
Irving,WHU,MID,4.5,Available,161,9,0,0.9,0.3
Orford,WHU,MID,4.5,Available,47,2,0,1.0,0.1
Potts,WHU,MID,4.5,Available,0,0,0,0.0,0.8
Bowen,WHU,FWD,8.0,Available,2974,193,21,5.7,19.0
Füllkrug,WHU,FWD,6.0,Available,783,42,3,2.3,3.1
Marshall,WHU,FWD,4.5,Available,0,0,0,0.0,0.7
Walker-Peters,WHU,DEF,4.5,Available,0,0,0,0.0,0.5
Wilson,WHU,FWD,6.0,Available,0,0,0,0.0,0.4
Hermansen,WHU,GKP,4.5,Available,0,0,0,0.0,0.2
Johnstone,WOL,GKP,4.5,Available,630,12,0,1.7,0.2
José Sá,WOL,GKP,4.5,Available,2610,93,4,3.2,2.3
Bentley,WOL,GKP,4.0,Available,180,9,1,4.5,0.9
King,WOL,GKP,4.0,Available,1,1,0,1.0,2.1
Agbadou,WOL,DEF,4.5,Available,1410,45,1,2.8,0.3
Doherty,WOL,DEF,4.5,Available,2105,75,4,2.5,0.2
H.Bueno,WOL,DEF,4.5,Available,0,0,0,0.0,0.1
Mosquera,WOL,DEF,4.5,Available,441,3,0,0.6,0.1
R.Gomes,WOL,DEF,4.5,Available,794,42,0,1.7,0.1
S.Bueno,WOL,DEF,4.5,Available,1678,52,2,1.8,0.1
Toti,WOL,DEF,4.5,Available,2613,79,8,2.5,0.2
Hoever,WOL,DEF,4.0,Available,0,0,0,0.0,2.6
Meupiyou,WOL,DEF,4.0,NotAvail,0,0,0,0.0,0.0
Pedro Lima,WOL,DEF,4.0,Available,69,2,0,0.7,1.3
Pond,WOL,DEF,4.0,Available,1,1,0,1.0,2.0
Hee Chan,WOL,MID,6.0,Available,646,37,0,1.8,0.2
André,WOL,MID,5.5,Available,2472,61,1,1.8,0.1
Bellegarde,WOL,MID,5.5,Available,1666,90,5,2.6,0.1
Fer López,WOL,MID,5.5,Available,0,0,0,0.0,0.1
Gomes,WOL,MID,5.5,Available,2975,87,7,2.4,0.1
Guedes,WOL,MID,5.5,NotAvail,979,62,2,2.1,0.0
Munetsi,WOL,MID,5.5,Available,1077,50,4,3.6,0.1
B.Traore,WOL,MID,5.0,NotAvail,1,1,0,1.0,0.0
Chirewa,WOL,MID,4.5,Available,0,0,0,0.0,0.3
Edozie,WOL,MID,4.5,Available,0,0,0,0.0,0.4
Gonzalez,WOL,MID,4.5,Available,0,0,0,0.0,1.5
Hodge,WOL,MID,4.5,NotAvail,0,0,0,0.0,0.2
Strand Larsen,WOL,FWD,6.5,Available,2587,145,17,4.1,5.2
Fábio Silva,WOL,FWD,5.0,Available,0,0,0,0.0,0.6
Kalajdžić,WOL,FWD,5.0,Available,0,0,0,0.0,0.2
Chiwome,WOL,FWD,4.5,Injured,0,0,0,0.0,0.0
Fraser,WOL,FWD,4.5,Available,0,0,0,0.0,2.4
J.Arias,WOL,MID,5.5,Available,0,0,0,0.0,1.0
